dataAbscissa/Depth	Age	dataOrdinate/Value
11.14	0.433824	0.828
11.155	0.436765	0.7015
11.17	0.439706	0.5504
11.185	0.442647	0.3813
11.2	0.445588	0.2013
11.215	0.448529	0.017
11.23	0.451471	-0.1651
11.245	0.454412	-0.3392
11.26	0.457353	-0.5002
11.275	0.460294	-0.6436
11.29	0.463235	-0.7658
11.305	0.466176	-0.8641
11.32	0.469118	-0.9364
11.335	0.472059	-0.9818
11.35	0.475	-0.9997
11.365	0.4775	-0.9904
11.38	0.48	-0.955
11.395	0.4825	-0.895
11.41	0.485	-0.8123
11.425	0.4875	-0.7094
11.44	0.49	-0.5891
11.455	0.4925	-0.4546
11.47	0.495	-0.3092
11.485	0.4975	-0.1565
11.5	0.5	0
11.515	0.5025	0.1565
11.53	0.505	0.3092
11.545	0.5075	0.4546
11.56	0.51	0.5891
11.575	0.5125	0.7094
11.59	0.515	0.8123
11.605	0.5175	0.895
11.62	0.52	0.955
11.635	0.5225	0.9904
11.65	0.525	0.9997
11.665	0.527941	0.9818
11.68	0.530882	0.9364
11.695	0.533824	0.8641
11.71	0.536765	0.7658
11.725	0.539706	0.6436
11.74	0.542647	0.5002
11.755	0.545588	0.3392
11.77	0.548529	0.1651
11.785	0.551471	-0.017
11.8	0.554412	-0.2013
11.815	0.557353	-0.3813
11.83	0.560294	-0.5504
11.845	0.563235	-0.7015
11.86	0.566176	-0.828
11.875	0.569118	-0.9234
11.89	0.572059	-0.9822
11.905	0.575	-0.9998
11.92	0.578846	-0.9733
11.935	0.582692	-0.9016
11.95	0.586538	-0.7855
11.965	0.590385	-0.6285
11.98	0.594231	-0.4365
11.995	0.598077	-0.2179
12.01	0.601923	0.0167
12.025	0.605769	0.2545
12.04	0.609615	0.4815
12.055	0.613462	0.6831
12.07	0.617308	0.8447
12.085	0.621154	0.9535
12.1	0.625	0.9991
12.115	0.629545	0.9748
12.13	0.634091	0.8786
12.145	0.638636	0.7142
12.16	0.643182	0.491
12.175	0.647727	0.2241
12.19	0.652273	-0.0659
12.205	0.656818	-0.355
12.22	0.661364	-0.6168
12.235	0.665909	-0.8257
12.25	0.670455	-0.9589
12.265	0.675	-0.9996
12.28	0.680556	-0.9392
12.295	0.686111	-0.7794
12.31	0.691667	-0.5332
12.325	0.697222	-0.2241
12.34	0.702778	0.1149
12.355	0.708333	0.445
12.37	0.713889	0.7256
12.385	0.719444	0.9198
12.4	0.725	0.9991
12.415	0.731111	0.9486
12.43	0.737222	0.7701
12.445	0.743333	0.4835
12.46	0.749444	0.1256
12.475	0.755556	-0.2545
12.49	0.761667	-0.6012
12.505	0.767778	-0.8609
12.52	0.773889	-0.9906
12.535	0.78	-0.9657
12.55	0.786429	-0.7855
12.565	0.792857	-0.4751
12.58	0.799286	-0.0826
12.595	0.805714	0.3274
12.61	0.812143	0.6841
12.625	0.818571	0.9234
12.64	0.825	0.9995
12.655	0.832143	0.8946
12.67	0.839286	0.624
12.685	0.846429	0.2349
12.7	0.853571	-0.2013
12.715	0.860714	-0.6015
12.73	0.867857	-0.887
12.745	0.875	-0.9995
12.76	0.882143	-0.9136
12.775	0.889286	-0.6436
12.79	0.896429	-0.2415
12.805	0.903571	0.2118
12.82	0.910714	0.6231
12.835	0.917857	0.906
12.85	0.925	0.9997
12.865	0.9325	0.8823
12.88	0.94	0.5771
12.895	0.9475	0.1477
12.91	0.955	-0.3143
12.925	0.9625	-0.7094
12.94	0.97	-0.9516
12.955	0.9775	-0.9876
12.97	0.985	-0.8089
12.985	0.9925	-0.454
13	1	0
